Date,Open,High,Low,Close,Adj Close,Volume
2017/01/09,"19,931.41","19,943.78","19,887.38","19,887.38","19,887.38","287,510,000"
2017/01/10,"19,876.35","19,957.12","19,836.03","19,855.53","19,855.53","299,410,000"
2017/01/11,"19,887.38","19,973.42","19,833.16","19,954.28","19,954.28","336,150,000"
2017/01/12,"19,926.21","19,929.29","19,770.47","19,891.00","19,891.00","306,290,000"
2017/01/13,"19,912.54","19,952.03","19,849.38","19,885.73","19,885.73","263,780,000"
2017/01/17,"19,848.82","19,882.99","19,775.35","19,826.77","19,826.77","341,900,000"
2017/01/18,"19,822.73","19,828.20","19,739.00","19,804.72","19,804.72","279,760,000"
2017/01/19,"19,813.55","19,824.14","19,677.94","19,732.40","19,732.40","301,750,000"
2017/01/20,"19,795.06","19,843.94","19,759.14","19,827.25","19,827.25","435,260,000"
2017/01/23,"19,794.79","19,833.98","19,732.36","19,799.85","19,799.85","326,690,000"
2017/01/24,"19,794.68","19,949.24","19,786.71","19,912.71","19,912.71","374,460,000"
2017/01/25,"19,994.48","20,082.00","19,994.48","20,068.51","20,068.51","372,240,000"
2017/01/26,"20,076.25","20,125.58","20,067.53","20,100.91","20,100.91","356,730,000"
2017/01/27,"20,103.36","20,115.97","20,072.64","20,093.78","20,093.78","343,130,000"
2017/01/30,"20,028.62","20,028.62","19,870.39","19,971.13","19,971.13","317,280,000"
2017/01/31,"19,913.16","19,918.17","19,784.77","19,864.09","19,864.09","373,750,000"
2017/02/01,"19,923.81","19,967.73","19,845.99","19,890.94","19,890.94","426,670,000"
2017/02/02,"19,858.34","19,922.75","19,831.09","19,884.91","19,884.91","347,220,000"
2017/02/03,"19,964.21","20,081.48","19,964.21","20,071.46","20,071.46","344,220,000"
2017/02/06,"20,025.61","20,094.95","20,002.81","20,052.42","20,052.42","281,720,000"
2017/02/07,"20,107.62","20,155.35","20,068.68","20,090.29","20,090.29","279,670,000"
2017/02/08,"20,049.29","20,068.28","20,015.33","20,054.34","20,054.34","280,410,000"
2017/02/09,"20,061.73","20,206.36","20,061.73","20,172.40","20,172.40","325,310,000"
2017/02/10,"20,211.23","20,298.21","20,204.76","20,269.37","20,269.37","312,230,000"
2017/02/13,"20,338.54","20,441.48","20,322.95","20,412.16","20,412.16","314,620,000"
2017/02/14,"20,374.22","20,504.41","20,374.02","20,504.41","20,504.41","356,580,000"
2017/02/15,"20,504.27","20,620.45","20,496.03","20,611.86","20,611.86","384,380,000"
2017/02/16,"20,627.31","20,639.87","20,556.83","20,619.77","20,619.77","354,120,000"
2017/02/17,"20,564.13","20,624.05","20,532.61","20,624.05","20,624.05","340,620,000"
2017/02/21,"20,663.43","20,757.64","20,663.37","20,743.00","20,743.00","336,880,000"
2017/02/22,"20,715.41","20,781.59","20,692.39","20,775.60","20,775.60","310,530,000"
2017/02/23,"20,817.21","20,840.70","20,746.41","20,810.32","20,810.32","302,110,000"
2017/02/24,"20,751.91","20,821.76","20,733.95","20,821.76","20,821.76","292,540,000"
2017/02/27,"20,808.71","20,851.33","20,774.76","20,837.44","20,837.44","256,540,000"
2017/02/28,"20,833.88","20,841.24","20,781.21","20,812.24","20,812.24","339,210,000"
2017/03/01,"20,957.29","21,169.11","20,957.29","21,115.55","21,115.55","392,820,000"
2017/03/02,"21,128.91","21,129.20","20,996.61","21,002.97","21,002.97","319,910,000"
2017/03/03,"21,008.75","21,039.96","20,953.86","21,005.71","21,005.71","254,420,000"
2017/03/06,"20,955.71","20,986.43","20,912.11","20,954.34","20,954.34","266,620,000"
2017/03/07,"20,934.89","20,970.54","20,901.26","20,924.76","20,924.76","274,630,000"
2017/03/08,"20,940.44","20,951.44","20,835.58","20,855.73","20,855.73","296,780,000"
2017/03/09,"20,864.32","20,900.57","20,777.16","20,858.19","20,858.19","275,960,000"
2017/03/10,"20,919.01","20,940.29","20,827.66","20,902.98","20,902.98","315,430,000"
2017/03/13,"20,899.28","20,926.06","20,845.71","20,881.48","20,881.48","289,260,000"
2017/03/14,"20,848.60","20,874.00","20,786.31","20,837.37","20,837.37","246,820,000"
2017/03/15,"20,874.78","20,977.47","20,859.60","20,950.10","20,950.10","306,590,000"
2017/03/16,"20,969.27","21,000.11","20,893.50","20,934.55","20,934.55","264,360,000"
2017/03/17,"20,965.37","20,980.51","20,911.07","20,914.62","20,914.62","535,280,000"
2017/03/20,"20,916.27","20,955.45","20,885.70","20,905.86","20,905.86","253,610,000"
2017/03/21,"20,956.33","20,970.04","20,653.26","20,668.01","20,668.01","369,320,000"
2017/03/22,"20,640.42","20,686.21","20,578.95","20,661.30","20,661.30","325,090,000"
2017/03/23,"20,645.07","20,757.89","20,618.62","20,656.58","20,656.58","280,050,000"
2017/03/24,"20,674.45","20,718.33","20,529.67","20,596.72","20,596.72","292,980,000"
2017/03/27,"20,488.35","20,578.46","20,412.80","20,550.98","20,550.98","269,380,000"
2017/03/28,"20,542.14","20,735.61","20,520.10","20,701.50","20,701.50","299,670,000"
2017/03/29,"20,675.75","20,684.73","20,625.03","20,659.32","20,659.32","238,320,000"
2017/03/30,"20,662.79","20,753.78","20,643.60","20,728.49","20,728.49","270,900,000"
2017/03/31,"20,700.34","20,722.59","20,660.68","20,663.22","20,663.22","303,770,000"
2017/04/03,"20,665.17","20,692.34","20,517.82","20,650.21","20,650.21","285,670,000"
2017/04/04,"20,634.94","20,701.29","20,605.30","20,689.24","20,689.24","237,390,000"
2017/04/05,"20,745.06","20,887.50","20,639.55","20,648.15","20,648.15","284,980,000"
2017/04/06,"20,653.77","20,746.46","20,612.17","20,662.95","20,662.95","251,720,000"
2017/04/07,"20,647.81","20,726.07","20,606.95","20,656.10","20,656.10","219,730,000"
2017/04/10,"20,668.22","20,750.33","20,614.86","20,658.02","20,658.02","230,480,000"
2017/04/11,"20,644.32","20,660.03","20,512.56","20,651.30","20,651.30","255,120,000"
2017/04/12,"20,637.95","20,642.54","20,553.03","20,591.86","20,591.86","267,670,000"
2017/04/13,"20,561.69","20,612.27","20,453.25","20,453.25","20,453.25","235,810,000"
